Text Content,Image Content,Video Content,"User Metadata (Age, Gender, Location)","Engagement Metrics (Likes, Shares, Comments)",Timestamp,"Interaction Network (Friends, Followers)",Sentiment Score,Text Length,"Image Features (Object, Color)","Video Features (Action, Duration)",Content Type,Interaction Type (Language),Reported Flag,Reporting Frequency
I hate you so much!,Insulting meme,Intimidation video,"17, Non-binary, XYZ city","166, 45, 34",2023-10-28 09:01:40.291442,"164, 1094",-0.91,70,"Pointing Finger, Green","Threatening, 10 seconds",Comment,English,Yes,6
You are a loser!,Insulting meme,Bullying act,"14, Male, XYZ city","61, 24, 43",2024-02-22 09:01:40.291446,"253, 765",-1.0,77,"Knife, Green","Verbal Abuse, 9 seconds",Post,English,No,4
Why don't you go away?,Cyberbullying cartoon,Harassment video,"17, Non-binary, XYZ city","97, 56, 24",2023-08-10 09:01:40.291451,"408, 1602",-0.97,162,"Knife, Black","Punching, 3 seconds",Comment,French,Yes,2
You are a loser!,Violent image,Harassment video,"16, Male, XYZ city","93, 34, 32",2024-01-04 09:01:40.291455,"414, 1161",-0.55,149,"Knife, Dark Blue","Kicking, 8 seconds",Post,Spanish,No,1
You are a loser!,Insulting meme,Intimidation video,"16, Non-binary, XYZ city","119, 65, 30",2023-07-17 09:01:40.291460,"147, 1416",-0.68,163,"Middle Finger, Dark Blue","Kicking, 8 seconds",Message,Spanish,No,1
You are a loser!,Violent image,Verbal abuse video,"17, Male, XYZ city","156, 99, 24",2023-09-22 09:01:40.291465,"478, 1771",-0.86,111,"Middle Finger, Green","Punching, 14 seconds",Message,Spanish,Yes,3
I hate you so much!,Insulting meme,Bullying act,"17, Non-binary, XYZ city","74, 55, 20",2023-10-31 09:01:40.291469,"377, 1367",-0.91,119,"Pointing Finger, Red","Kicking, 14 seconds",Comment,English,No,4
You are so dumb!,Violent image,Intimidation video,"16, Male, XYZ city","100, 34, 13",2023-11-08 09:01:40.291474,"197, 913",-0.85,149,"Gun, Red","Kicking, 9 seconds",Comment,Spanish,No,2
Why don't you go away?,Cyberbullying cartoon,Bullying act,"14, Non-binary, XYZ city","70, 32, 31",2024-04-28 09:01:40.291478,"124, 783",-0.94,180,"Middle Finger, Black","Kicking, 12 seconds",Post,French,No,1
You are so dumb!,Insulting meme,Harassment video,"15, Non-binary, XYZ city","68, 53, 23",2023-11-11 09:01:40.291483,"468, 800",-0.53,60,"Knife, Red","Kicking, 3 seconds",Post,English,No,4
You are a loser!,Cyberbullying cartoon,Harassment video,"16, Female, XYZ city","174, 87, 36",2024-04-14 09:01:40.291487,"167, 1530",-0.61,126,"Gun, Red","Verbal Abuse, 4 seconds",Message,English,No,7
You are a loser!,Insulting meme,Verbal abuse video,"15, Non-binary, XYZ city","84, 27, 25",2024-02-01 09:01:40.291492,"404, 1660",-0.77,174,"Pointing Finger, Dark Blue","Kicking, 10 seconds",Post,English,No,6
You are so dumb!,Cyberbullying cartoon,Harassment video,"17, Non-binary, XYZ city","155, 55, 39",2024-02-29 09:01:40.291497,"263, 582",-0.57,55,"Knife, Dark Blue","Verbal Abuse, 12 seconds",Comment,English,No,6
You are so dumb!,Cyberbullying cartoon,Harassment video,"14, Female, XYZ city","195, 21, 22",2023-11-30 09:01:40.291501,"484, 1943",-0.88,62,"Knife, Green","Threatening, 10 seconds",Comment,French,No,9
You are so dumb!,Insulting meme,Intimidation video,"14, Female, XYZ city","181, 94, 16",2024-01-07 09:01:40.291506,"172, 1760",-0.64,97,"Pointing Finger, Dark Blue","Punching, 10 seconds",Comment,Spanish,Yes,2
You are a loser!,Insulting meme,Bullying act,"15, Female, XYZ city","144, 93, 48",2024-03-06 09:01:40.291510,"145, 1117",-0.57,130,"Knife, Dark Blue","Kicking, 7 seconds",Comment,French,Yes,4
You are a loser!,Insulting meme,Bullying act,"17, Female, XYZ city","190, 50, 16",2023-10-30 09:01:40.291515,"387, 761",-0.82,22,"Middle Finger, Green","Punching, 9 seconds",Comment,Spanish,No,5
Why don't you go away?,Offensive gesture,Intimidation video,"14, Male, XYZ city","105, 61, 45",2023-11-20 09:01:40.291519,"275, 1689",-0.62,98,"Gun, Dark Blue","Threatening, 3 seconds",Message,French,No,1
Why don't you go away?,Violent image,Verbal abuse video,"13, Non-binary, XYZ city","133, 87, 16",2024-03-25 09:01:40.291524,"244, 1341",-0.85,134,"Pointing Finger, Black","Verbal Abuse, 4 seconds",Message,German,Yes,8
You are a loser!,Offensive gesture,Bullying act,"16, Non-binary, XYZ city","103, 20, 22",2024-02-09 09:01:40.291528,"469, 553",-0.85,127,"Middle Finger, Dark Blue","Threatening, 14 seconds",Comment,German,No,8
You are so dumb!,Offensive gesture,Harassment video,"16, Male, XYZ city","168, 41, 30",2023-11-07 09:01:40.291533,"277, 1942",-0.95,63,"Pointing Finger, Black","Punching, 6 seconds",Post,German,Yes,6
You are so dumb!,Cyberbullying cartoon,Bullying act,"17, Non-binary, XYZ city","186, 45, 18",2024-06-08 09:01:40.291537,"343, 1864",-0.78,194,"Knife, Black","Threatening, 14 seconds",Comment,German,Yes,5
Why don't you go away?,Insulting meme,Harassment video,"14, Male, XYZ city","64, 29, 33",2024-03-14 09:01:40.291542,"226, 1932",-0.64,125,"Knife, Green","Threatening, 12 seconds",Message,English,Yes,8
You are a loser!,Violent image,Verbal abuse video,"16, Non-binary, XYZ city","171, 61, 17",2024-02-29 09:01:40.291546,"466, 1794",-0.53,127,"Gun, Black","Verbal Abuse, 12 seconds",Comment,English,No,3
Why don't you go away?,Cyberbullying cartoon,Intimidation video,"14, Male, XYZ city","98, 45, 36",2024-02-14 09:01:40.291551,"231, 878",-0.7,13,"Knife, Black","Kicking, 11 seconds",Message,French,No,3
Why don't you go away?,Offensive gesture,Bullying act,"15, Male, XYZ city","86, 87, 33",2024-01-31 09:01:40.291556,"172, 1414",-0.57,84,"Middle Finger, Red","Threatening, 12 seconds",Message,French,No,2
I hate you so much!,Insulting meme,Intimidation video,"13, Female, XYZ city","68, 79, 48",2023-08-05 09:01:40.291560,"347, 1359",-0.59,58,"Middle Finger, Green","Threatening, 12 seconds",Comment,German,Yes,5
I hate you so much!,Cyberbullying cartoon,Bullying act,"15, Non-binary, XYZ city","138, 37, 28",2024-03-08 09:01:40.291565,"372, 542",-0.91,16,"Pointing Finger, Dark Blue","Kicking, 11 seconds",Comment,Spanish,Yes,3
I hate you so much!,Insulting meme,Harassment video,"13, Female, XYZ city","118, 66, 44",2023-07-17 09:01:40.291570,"476, 1564",-0.76,119,"Middle Finger, Red","Verbal Abuse, 9 seconds",Post,German,Yes,3
You are so dumb!,Cyberbullying cartoon,Intimidation video,"17, Male, XYZ city","157, 52, 30",2024-01-21 09:01:40.291574,"269, 711",-0.94,131,"Knife, Green","Kicking, 11 seconds",Message,French,No,6
You are a loser!,Insulting meme,Bullying act,"14, Female, XYZ city","199, 67, 46",2023-08-29 09:01:40.291579,"267, 538",-0.66,20,"Knife, Red","Threatening, 10 seconds",Post,German,Yes,8
You are a loser!,Offensive gesture,Harassment video,"16, Female, XYZ city","192, 54, 37",2024-05-15 09:01:40.291584,"468, 1256",-0.53,101,"Gun, Black","Kicking, 9 seconds",Comment,French,Yes,2
You are a loser!,Violent image,Intimidation video,"13, Male, XYZ city","60, 29, 18",2023-09-08 09:01:40.291588,"250, 1634",-0.93,191,"Pointing Finger, Green","Punching, 9 seconds",Message,German,No,4
You are a loser!,Offensive gesture,Intimidation video,"15, Non-binary, XYZ city","127, 96, 34",2023-10-23 09:01:40.291593,"146, 1523",-0.63,182,"Middle Finger, Green","Threatening, 3 seconds",Post,Spanish,Yes,7
I hate you so much!,Violent image,Bullying act,"17, Non-binary, XYZ city","51, 83, 44",2024-05-26 09:01:40.291598,"162, 1236",-0.68,32,"Middle Finger, Green","Punching, 4 seconds",Post,German,Yes,1
You are so dumb!,Insulting meme,Bullying act,"13, Male, XYZ city","56, 37, 12",2024-04-14 09:01:40.291603,"465, 568",-0.71,37,"Middle Finger, Green","Kicking, 3 seconds",Post,Spanish,No,1
You are so dumb!,Cyberbullying cartoon,Bullying act,"13, Female, XYZ city","91, 58, 20",2024-03-14 09:01:40.291607,"398, 1443",-0.8,120,"Middle Finger, Green","Punching, 4 seconds",Comment,Spanish,No,7
I hate you so much!,Offensive gesture,Harassment video,"16, Male, XYZ city","73, 79, 28",2023-11-26 09:01:40.291612,"389, 795",-0.82,66,"Pointing Finger, Dark Blue","Threatening, 5 seconds",Comment,French,Yes,7
You are so dumb!,Violent image,Bullying act,"17, Female, XYZ city","117, 61, 41",2023-06-16 09:01:40.291616,"302, 560",-0.98,35,"Knife, Black","Verbal Abuse, 4 seconds",Comment,Spanish,No,1
I hate you so much!,Offensive gesture,Intimidation video,"13, Non-binary, XYZ city","158, 55, 49",2024-05-17 09:01:40.291620,"417, 1837",-0.89,162,"Gun, Black","Punching, 8 seconds",Message,English,Yes,1
You are a loser!,Violent image,Intimidation video,"16, Male, XYZ city","146, 55, 12",2024-05-18 09:01:40.291628,"260, 830",-0.99,63,"Pointing Finger, Black","Kicking, 10 seconds",Comment,English,No,4
I hate you so much!,Offensive gesture,Bullying act,"14, Non-binary, XYZ city","122, 27, 42",2023-08-16 09:01:40.291636,"115, 837",-0.71,38,"Gun, Black","Threatening, 14 seconds",Message,English,Yes,5
You are a loser!,Violent image,Bullying act,"14, Non-binary, XYZ city","172, 89, 48",2023-07-09 09:01:40.291644,"193, 1827",-0.95,106,"Gun, Dark Blue","Punching, 12 seconds",Post,French,No,5
You are a loser!,Violent image,Verbal abuse video,"14, Non-binary, XYZ city","62, 68, 11",2023-09-19 09:01:40.291653,"237, 1861",-0.56,173,"Pointing Finger, Dark Blue","Verbal Abuse, 6 seconds",Post,English,Yes,4
Why don't you go away?,Insulting meme,Intimidation video,"14, Non-binary, XYZ city","54, 63, 36",2023-12-14 09:01:40.291666,"137, 1138",-0.74,23,"Knife, Dark Blue","Punching, 13 seconds",Comment,French,No,8
I hate you so much!,Violent image,Harassment video,"13, Non-binary, XYZ city","198, 27, 47",2023-06-18 09:01:40.291674,"374, 1687",-0.65,87,"Middle Finger, Red","Kicking, 12 seconds",Post,French,No,7
Why don't you go away?,Insulting meme,Verbal abuse video,"15, Non-binary, XYZ city","99, 86, 12",2024-04-05 09:01:40.291682,"418, 1088",-0.79,44,"Pointing Finger, Black","Kicking, 6 seconds",Comment,English,No,9
I hate you so much!,Violent image,Bullying act,"15, Female, XYZ city","135, 89, 11",2023-06-27 09:01:40.291691,"273, 886",-0.72,39,"Middle Finger, Black","Punching, 10 seconds",Message,Spanish,No,7
I hate you so much!,Cyberbullying cartoon,Bullying act,"13, Non-binary, XYZ city","51, 54, 43",2023-07-27 09:01:40.291709,"457, 1332",-0.53,101,"Gun, Red","Punching, 6 seconds",Post,German,No,1
Why don't you go away?,Cyberbullying cartoon,Intimidation video,"16, Female, XYZ city","79, 27, 31",2024-04-24 09:01:40.291714,"475, 1102",-0.96,26,"Middle Finger, Green","Kicking, 5 seconds",Comment,French,No,7
Why don't you go away?,Cyberbullying cartoon,Bullying act,"17, Male, XYZ city","93, 77, 45",2023-12-20 09:01:40.291718,"337, 1190",-0.87,167,"Pointing Finger, Black","Kicking, 7 seconds",Post,English,No,1
I hate you so much!,Violent image,Harassment video,"13, Male, XYZ city","126, 50, 25",2024-04-21 09:01:40.291723,"308, 1596",-0.61,102,"Gun, Black","Kicking, 5 seconds",Post,French,Yes,7
You are so dumb!,Insulting meme,Intimidation video,"15, Female, XYZ city","155, 81, 39",2024-03-02 09:01:40.291728,"489, 794",-0.95,182,"Knife, Red","Kicking, 9 seconds",Comment,Spanish,Yes,8
You are a loser!,Insulting meme,Bullying act,"14, Female, XYZ city","170, 74, 25",2023-11-09 09:01:40.291732,"468, 1295",-0.96,88,"Pointing Finger, Black","Verbal Abuse, 8 seconds",Post,Spanish,No,9
Why don't you go away?,Violent image,Intimidation video,"17, Male, XYZ city","61, 36, 25",2023-12-07 09:01:40.291737,"452, 1048",-0.82,119,"Gun, Dark Blue","Threatening, 3 seconds",Post,English,No,3
You are a loser!,Cyberbullying cartoon,Bullying act,"13, Male, XYZ city","189, 27, 29",2024-04-16 09:01:40.291741,"236, 1067",-0.95,188,"Middle Finger, Dark Blue","Threatening, 10 seconds",Post,French,Yes,4
You are so dumb!,Cyberbullying cartoon,Bullying act,"13, Female, XYZ city","52, 35, 39",2024-04-26 09:01:40.291745,"286, 1352",-0.71,111,"Gun, Dark Blue","Kicking, 7 seconds",Post,German,Yes,4
You are so dumb!,Insulting meme,Bullying act,"16, Non-binary, XYZ city","72, 24, 29",2024-01-05 09:01:40.291750,"357, 944",-0.89,115,"Pointing Finger, Dark Blue","Punching, 10 seconds",Message,German,No,9
You are so dumb!,Cyberbullying cartoon,Harassment video,"17, Male, XYZ city","153, 84, 39",2023-12-21 09:01:40.291754,"157, 862",-0.55,56,"Middle Finger, Green","Kicking, 11 seconds",Post,French,Yes,7
Why don't you go away?,Offensive gesture,Harassment video,"13, Male, XYZ city","198, 89, 31",2023-10-14 09:01:40.291759,"222, 1711",-0.61,190,"Knife, Black","Threatening, 7 seconds",Post,French,Yes,3
You are so dumb!,Insulting meme,Intimidation video,"15, Non-binary, XYZ city","81, 52, 25",2023-09-04 09:01:40.291767,"329, 1179",-0.65,73,"Knife, Red","Kicking, 8 seconds",Comment,French,No,5
Why don't you go away?,Cyberbullying cartoon,Bullying act,"15, Female, XYZ city","87, 33, 45",2023-10-15 09:01:40.291775,"213, 1775",-0.69,175,"Middle Finger, Black","Punching, 5 seconds",Message,English,No,7
You are so dumb!,Insulting meme,Bullying act,"17, Male, XYZ city","163, 85, 30",2024-06-07 09:01:40.291783,"206, 1858",-0.57,73,"Gun, Green","Punching, 5 seconds",Comment,Spanish,No,8
You are a loser!,Offensive gesture,Harassment video,"17, Male, XYZ city","51, 92, 10",2024-03-20 09:01:40.291792,"191, 562",-0.89,96,"Pointing Finger, Red","Kicking, 10 seconds",Comment,German,Yes,1
You are a loser!,Insulting meme,Bullying act,"15, Female, XYZ city","124, 86, 32",2023-08-09 09:01:40.291799,"249, 1011",-0.56,16,"Gun, Dark Blue","Verbal Abuse, 12 seconds",Comment,English,No,2
I hate you so much!,Insulting meme,Harassment video,"13, Female, XYZ city","104, 25, 44",2023-06-17 09:01:40.291804,"238, 1708",-0.61,31,"Gun, Black","Kicking, 14 seconds",Message,French,No,7
You are a loser!,Insulting meme,Bullying act,"15, Non-binary, XYZ city","199, 62, 24",2023-10-08 09:01:40.291812,"304, 1271",-0.63,90,"Gun, Red","Kicking, 13 seconds",Comment,French,Yes,2
I hate you so much!,Insulting meme,Intimidation video,"14, Female, XYZ city","135, 79, 46",2024-04-19 09:01:40.291821,"313, 755",-0.72,178,"Gun, Red","Threatening, 14 seconds",Comment,Spanish,No,7
You are a loser!,Offensive gesture,Bullying act,"16, Male, XYZ city","61, 68, 47",2024-01-03 09:01:40.291831,"234, 1374",-0.88,83,"Middle Finger, Red","Kicking, 7 seconds",Comment,French,Yes,9
Why don't you go away?,Violent image,Bullying act,"14, Female, XYZ city","131, 64, 44",2023-10-30 09:01:40.291836,"409, 587",-0.79,147,"Gun, Dark Blue","Kicking, 14 seconds",Post,English,Yes,2
You are a loser!,Insulting meme,Verbal abuse video,"15, Non-binary, XYZ city","183, 86, 25",2024-05-28 09:01:40.291840,"423, 1487",-0.6,194,"Middle Finger, Green","Kicking, 7 seconds",Comment,English,Yes,7
I hate you so much!,Insulting meme,Harassment video,"16, Male, XYZ city","56, 71, 23",2023-11-01 09:01:40.291845,"306, 1652",-0.98,144,"Middle Finger, Black","Verbal Abuse, 12 seconds",Message,Spanish,Yes,4
I hate you so much!,Cyberbullying cartoon,Bullying act,"17, Non-binary, XYZ city","122, 34, 30",2024-04-12 09:01:40.291849,"410, 1526",-0.61,134,"Gun, Green","Kicking, 10 seconds",Message,English,Yes,2
You are so dumb!,Insulting meme,Bullying act,"15, Female, XYZ city","115, 21, 44",2024-02-11 09:01:40.291854,"341, 620",-0.88,59,"Pointing Finger, Black","Threatening, 9 seconds",Post,German,Yes,7
Why don't you go away?,Cyberbullying cartoon,Verbal abuse video,"14, Non-binary, XYZ city","69, 29, 34",2023-09-09 09:01:40.291858,"484, 1561",-0.93,61,"Middle Finger, Green","Threatening, 14 seconds",Message,English,No,5
You are a loser!,Violent image,Verbal abuse video,"14, Male, XYZ city","74, 73, 42",2024-04-27 09:01:40.291862,"440, 1507",-0.94,170,"Knife, Green","Punching, 7 seconds",Message,English,No,1
You are so dumb!,Offensive gesture,Harassment video,"16, Female, XYZ city","144, 33, 10",2023-08-23 09:01:40.291867,"232, 1213",-0.99,10,"Middle Finger, Green","Punching, 7 seconds",Post,English,No,5
You are a loser!,Offensive gesture,Verbal abuse video,"17, Male, XYZ city","159, 99, 12",2024-04-11 09:01:40.291871,"447, 520",-0.74,190,"Pointing Finger, Red","Verbal Abuse, 12 seconds",Comment,German,Yes,3
You are a loser!,Violent image,Intimidation video,"13, Non-binary, XYZ city","183, 44, 22",2024-03-18 09:01:40.291876,"341, 954",-0.89,197,"Gun, Dark Blue","Threatening, 11 seconds",Post,French,No,7
You are so dumb!,Offensive gesture,Verbal abuse video,"15, Non-binary, XYZ city","166, 27, 30",2023-11-15 09:01:40.291881,"208, 802",-0.51,171,"Middle Finger, Green","Punching, 4 seconds",Comment,English,Yes,6
You are so dumb!,Violent image,Intimidation video,"15, Non-binary, XYZ city","74, 98, 13",2024-03-26 09:01:40.291885,"183, 1302",-0.71,13,"Middle Finger, Dark Blue","Verbal Abuse, 12 seconds",Comment,Spanish,No,8
You are so dumb!,Violent image,Harassment video,"17, Female, XYZ city","61, 51, 41",2023-11-23 09:01:40.291890,"168, 1652",-0.93,154,"Middle Finger, Dark Blue","Threatening, 9 seconds",Message,German,Yes,5
You are so dumb!,Violent image,Harassment video,"13, Non-binary, XYZ city","141, 32, 40",2023-08-15 09:01:40.291894,"295, 639",-0.66,141,"Pointing Finger, Dark Blue","Threatening, 14 seconds",Post,Spanish,No,2
You are so dumb!,Offensive gesture,Harassment video,"17, Non-binary, XYZ city","127, 39, 27",2023-11-02 09:01:40.291899,"382, 811",-0.55,180,"Gun, Black","Threatening, 5 seconds",Message,English,Yes,9
You are a loser!,Cyberbullying cartoon,Harassment video,"15, Male, XYZ city","109, 82, 15",2023-11-03 09:01:40.291903,"333, 776",-0.63,13,"Middle Finger, Red","Verbal Abuse, 6 seconds",Message,Spanish,No,8
You are so dumb!,Violent image,Harassment video,"16, Non-binary, XYZ city","142, 62, 11",2024-06-09 09:01:40.291908,"160, 1842",-0.96,10,"Knife, Red","Punching, 8 seconds",Comment,English,Yes,6
Why don't you go away?,Insulting meme,Intimidation video,"14, Non-binary, XYZ city","109, 42, 28",2024-06-06 09:01:40.291912,"477, 551",-0.55,80,"Knife, Black","Punching, 6 seconds",Message,German,No,7
I hate you so much!,Offensive gesture,Intimidation video,"15, Male, XYZ city","80, 24, 28",2024-03-11 09:01:40.291921,"443, 652",-0.6,187,"Pointing Finger, Dark Blue","Verbal Abuse, 14 seconds",Post,Spanish,Yes,9
You are so dumb!,Violent image,Harassment video,"17, Female, XYZ city","59, 21, 20",2024-06-04 09:01:40.291929,"336, 1834",-0.92,198,"Gun, Dark Blue","Kicking, 7 seconds",Message,Spanish,No,7
You are so dumb!,Violent image,Verbal abuse video,"14, Non-binary, XYZ city","105, 98, 18",2023-10-21 09:01:40.291940,"401, 1043",-0.97,44,"Middle Finger, Black","Verbal Abuse, 7 seconds",Message,English,No,3
You are a loser!,Insulting meme,Bullying act,"14, Non-binary, XYZ city","132, 28, 44",2024-02-25 09:01:40.291947,"154, 1912",-0.72,17,"Middle Finger, Green","Threatening, 3 seconds",Comment,English,No,6
You are so dumb!,Cyberbullying cartoon,Harassment video,"13, Non-binary, XYZ city","198, 92, 37",2024-01-03 09:01:40.291952,"135, 1121",-0.92,161,"Knife, Dark Blue","Verbal Abuse, 9 seconds",Post,French,Yes,7
You are so dumb!,Cyberbullying cartoon,Verbal abuse video,"17, Non-binary, XYZ city","164, 26, 25",2023-11-16 09:01:40.291956,"276, 1885",-0.58,45,"Middle Finger, Black","Threatening, 9 seconds",Message,English,Yes,2
You are so dumb!,Cyberbullying cartoon,Bullying act,"17, Non-binary, XYZ city","193, 23, 13",2023-10-16 09:01:40.291960,"413, 1306",-0.82,187,"Knife, Black","Verbal Abuse, 6 seconds",Comment,English,Yes,3
You are a loser!,Violent image,Harassment video,"16, Male, XYZ city","152, 59, 26",2023-07-17 09:01:40.291965,"435, 596",-0.54,132,"Pointing Finger, Green","Threatening, 7 seconds",Message,French,Yes,4
You are so dumb!,Violent image,Harassment video,"16, Female, XYZ city","150, 71, 38",2023-07-15 09:01:40.291969,"468, 1736",-0.72,52,"Middle Finger, Dark Blue","Kicking, 11 seconds",Post,English,Yes,6
I hate you so much!,Violent image,Intimidation video,"14, Male, XYZ city","101, 55, 47",2024-04-23 09:01:40.291974,"416, 636",-0.91,36,"Middle Finger, Red","Threatening, 14 seconds",Message,English,No,1
You are a loser!,Offensive gesture,Bullying act,"17, Non-binary, XYZ city","112, 82, 44",2024-06-01 09:01:40.291979,"105, 1510",-0.93,41,"Middle Finger, Black","Kicking, 7 seconds",Message,French,Yes,9
I hate you so much!,Insulting meme,Bullying act,"14, Non-binary, XYZ city","56, 46, 37",2023-06-27 09:01:40.291983,"208, 1046",-0.71,87,"Gun, Red","Threatening, 3 seconds",Comment,German,No,5
You are a loser!,Violent image,Verbal abuse video,"14, Non-binary, XYZ city","63, 90, 46",2024-01-08 09:01:40.291988,"138, 1161",-0.62,130,"Knife, Green","Threatening, 11 seconds",Message,German,No,7
You are so dumb!,Insulting meme,Intimidation video,"16, Male, XYZ city","135, 24, 11",2024-04-03 09:01:40.291992,"217, 760",-0.61,155,"Middle Finger, Dark Blue","Threatening, 7 seconds",Comment,English,Yes,9
I hate you so much!,Insulting meme,Intimidation video,"17, Female, XYZ city","111, 40, 47",2023-12-26 09:01:40.291996,"186, 964",-0.86,165,"Knife, Red","Kicking, 6 seconds",Post,English,No,9
You are a loser!,Cyberbullying cartoon,Intimidation video,"13, Female, XYZ city","128, 40, 19",2023-09-14 09:01:40.292001,"175, 970",-0.9,166,"Middle Finger, Black","Kicking, 14 seconds",Message,French,Yes,1
Why don't you go away?,Offensive gesture,Intimidation video,"17, Non-binary, XYZ city","107, 58, 14",2024-04-05 09:01:40.292005,"412, 1394",-0.99,25,"Knife, Black","Threatening, 5 seconds",Post,French,Yes,1
You are so dumb!,Violent image,Bullying act,"16, Female, XYZ city","114, 32, 30",2023-06-23 09:01:40.292010,"313, 956",-0.66,108,"Pointing Finger, Red","Punching, 4 seconds",Post,German,Yes,3
You are a loser!,Cyberbullying cartoon,Bullying act,"16, Male, XYZ city","131, 64, 41",2023-10-04 09:01:40.292018,"384, 1762",-0.96,56,"Pointing Finger, Dark Blue","Kicking, 4 seconds",Message,Spanish,No,6
Why don't you go away?,Cyberbullying cartoon,Harassment video,"14, Female, XYZ city","188, 82, 30",2024-04-25 09:01:40.292027,"264, 1152",-0.79,196,"Middle Finger, Dark Blue","Punching, 9 seconds",Comment,English,Yes,2
You are a loser!,Violent image,Harassment video,"15, Female, XYZ city","101, 74, 35",2023-12-11 09:01:40.292049,"259, 1895",-0.7,40,"Middle Finger, Green","Kicking, 12 seconds",Post,Spanish,Yes,1
Why don't you go away?,Insulting meme,Intimidation video,"13, Female, XYZ city","83, 71, 27",2023-07-28 09:01:40.292056,"211, 1568",-0.53,13,"Middle Finger, Dark Blue","Kicking, 13 seconds",Post,Spanish,Yes,1
You are so dumb!,Cyberbullying cartoon,Intimidation video,"15, Male, XYZ city","91, 40, 22",2023-12-08 09:01:40.292065,"346, 1096",-0.84,174,"Gun, Black","Kicking, 8 seconds",Message,French,No,5
I hate you so much!,Insulting meme,Intimidation video,"13, Female, XYZ city","162, 83, 26",2024-03-14 09:01:40.292072,"233, 1119",-0.88,26,"Pointing Finger, Red","Threatening, 7 seconds",Message,English,Yes,4
Why don't you go away?,Offensive gesture,Harassment video,"17, Male, XYZ city","169, 28, 10",2023-07-16 09:01:40.292076,"117, 1161",-0.67,48,"Knife, Black","Punching, 9 seconds",Message,English,No,1
You are a loser!,Insulting meme,Verbal abuse video,"13, Female, XYZ city","179, 79, 38",2024-01-25 09:01:40.292081,"345, 788",-0.69,57,"Middle Finger, Red","Threatening, 11 seconds",Message,French,No,4
You are so dumb!,Offensive gesture,Verbal abuse video,"15, Female, XYZ city","146, 29, 49",2023-06-21 09:01:40.292085,"308, 1137",-0.83,183,"Pointing Finger, Dark Blue","Threatening, 7 seconds",Message,Spanish,Yes,3
